hours_worked,overtime_hours,projects_handled,meetings_count,workload_rating,deadline_pressure,productivity_rating,task_delay,breaks,break_duration,sick_days,leave_days,exhaustion_rating,travel,travel_enjoyment,family_time,social_satisfaction,commute_time,wlb_score,wlb_label
>50,11-15,6-8,>20,3.0,3.0,4.0,Sometimes,3,10-20,3,4+,3.0,1 trip,2.0,3-5,4.0,1-2h,637.8,MODERATE
45-50,1-5,2-3,>20,1.0,1.0,1.0,Never,3,<10,3,4+,1.0,2 trips,2.0,<3,1.0,1-2h,597.4,MODERATE
>50,6-10,2-3,0-5,5.0,5.0,2.0,Always,4+,<10,4+,3,4.0,1 trip,1.0,11-15,2.0,1-2h,659.0,MODERATE
40-45,6-10,1,16-20,4.0,4.0,4.0,Often,4+,20-30,1,1,3.0,3 trips,2.0,11-15,2.0,<30,665.8,MODERATE
<35,6-10,6-8,>20,2.0,2.0,2.0,Rarely,3,<10,1,None,2.0,>3 trips,2.0,3-5,3.0,<30,631.2,MODERATE
40-45,1-5,6-8,16-20,4.0,4.0,4.0,Often,3,20-30,None,2,3.0,1 trip,2.0,3-5,2.0,No commute,660.3,MODERATE
40-45,1-5,6-8,>20,2.0,2.0,4.0,Rarely,3,30-45,3,1,2.0,1 trip,2.0,6-10,4.0,30-60,652.4,MODERATE
35-40,None,1,>20,4.0,4.0,3.0,Often,3,10-20,3,2,3.0,>3 trips,1.0,3-5,4.0,>2h,609.7,MODERATE
35-40,>15,6-8,11-15,5.0,5.0,4.0,Always,None,10-20,2,2,5.0,1 trip,1.0,3-5,2.0,>2h,631.6,MODERATE
35-40,None,>8,16-20,5.0,5.0,2.0,Always,None,<10,1,2,5.0,No travel,1.0,6-10,5.0,<30,569.6,MODERATE
35-40,11-15,6-8,11-15,4.0,4.0,2.0,Often,1,<10,3,3,4.0,3 trips,2.0,11-15,2.0,<30,625.6,MODERATE
>50,6-10,>8,0-5,4.0,4.0,4.0,Often,2,10-20,None,3,4.0,No travel,5.0,3-5,5.0,No commute,725.5,GOOD
45-50,1-5,2-3,11-15,3.0,3.0,2.0,Sometimes,3,20-30,4+,1,3.0,3 trips,2.0,6-10,2.0,>2h,671.5,MODERATE
<35,>15,>8,11-15,2.0,2.0,4.0,Rarely,3,Unknown,4+,4+,2.0,No travel,2.0,3-5,5.0,>2h,718.9,GOOD
40-45,>15,2-3,0-5,3.0,3.0,2.0,Sometimes,2,>45,1,3,3.0,No travel,2.0,>15,5.0,No commute,702.3,GOOD
>50,1-5,1,16-20,2.0,2.0,2.0,Rarely,3,30-45,1,None,2.0,1 trip,2.0,6-10,1.0,No commute,664.1,MODERATE
<35,None,2-3,6-10,2.0,2.0,1.0,Rarely,3,30-45,2,1,2.0,3 trips,1.0,11-15,1.0,1-2h,612.5,MODERATE
>50,>15,2-3,>20,3.0,3.0,4.0,Sometimes,2,Unknown,1,None,3.0,3 trips,5.0,11-15,5.0,No commute,775.4,GOOD
>50,None,6-8,16-20,2.0,2.0,3.0,Rarely,1,30-45,3,2,3.0,1 trip,1.0,3-5,4.0,1-2h,651.6,MODERATE
40-45,1-5,4-5,0-5,4.0,4.0,4.0,Often,1,Unknown,3,None,4.0,3 trips,4.0,>15,4.0,>2h,735.3,GOOD
45-50,None,2-3,11-15,1.0,1.0,4.0,Never,2,20-30,3,3,1.0,3 trips,3.0,<3,2.0,1-2h,726.1,GOOD
35-40,6-10,>8,6-10,4.0,4.0,2.0,Often,2,<10,3,None,4.0,1 trip,1.0,11-15,5.0,30-60,651.8,MODERATE
45-50,1-5,1,11-15,4.0,4.0,4.0,Often,3,<10,2,2,3.0,2 trips,1.0,3-5,4.0,<30,605.9,MODERATE
40-45,1-5,>8,>20,4.0,4.0,4.0,Often,1,Unknown,1,2,4.0,>3 trips,4.0,>15,4.0,1-2h,735.3,GOOD
40-45,>15,1,0-5,4.0,4.0,4.0,Often,1,Unknown,1,3,4.0,No travel,4.0,>15,4.0,30-60,735.3,GOOD
40-45,>15,>8,6-10,3.0,3.0,1.0,Sometimes,4+,<10,1,1,2.0,3 trips,2.0,>15,2.0,No commute,680.7,MODERATE
<35,>15,2-3,16-20,3.0,3.0,4.0,Sometimes,2,Unknown,2,4+,3.0,>3 trips,3.0,6-10,2.0,No commute,669.6,MODERATE
45-50,6-10,4-5,16-20,3.0,3.0,1.0,Sometimes,None,30-45,2,1,4.0,1 trip,3.0,3-5,2.0,No commute,658.4,MODERATE
45-50,6-10,2-3,0-5,3.0,3.0,1.0,Sometimes,None,30-45,3,4+,4.0,3 trips,3.0,3-5,2.0,No commute,658.4,MODERATE
>50,11-15,6-8,0-5,4.0,4.0,5.0,Often,2,>45,2,3,4.0,>3 trips,5.0,<3,4.0,30-60,716.0,GOOD
>50,1-5,>8,11-15,3.0,3.0,5.0,Sometimes,2,Unknown,2,3,3.0,No travel,1.0,6-10,5.0,<30,721.7,GOOD
>50,>15,4-5,6-10,4.0,4.0,3.0,Often,2,30-45,None,3,4.0,>3 trips,2.0,3-5,5.0,1-2h,642.8,MODERATE
40-45,1-5,>8,>20,3.0,3.0,4.0,Sometimes,3,>45,3,2,3.0,2 trips,2.0,11-15,5.0,<30,644.6,MODERATE
45-50,None,6-8,0-5,4.0,4.0,3.0,Often,1,Unknown,3,1,4.0,3 trips,1.0,6-10,3.0,1-2h,663.9,MODERATE
40-45,6-10,6-8,6-10,1.0,1.0,4.0,Never,2,>45,None,4+,2.0,No travel,2.0,11-15,2.0,<30,684.9,MODERATE
<35,11-15,6-8,0-5,3.0,3.0,1.0,Sometimes,1,10-20,1,1,3.0,No travel,5.0,6-10,2.0,30-60,649.9,MODERATE
>50,None,2-3,0-5,2.0,2.0,1.0,Rarely,2,<10,None,4+,2.0,No travel,4.0,6-10,3.0,30-60,644.8,MODERATE
40-45,1-5,2-3,16-20,3.0,3.0,4.0,Sometimes,4+,30-45,None,None,2.0,2 trips,5.0,>15,5.0,No commute,719.7,GOOD
40-45,6-10,4-5,6-10,3.0,3.0,4.0,Sometimes,2,10-20,None,1,3.0,>3 trips,5.0,3-5,1.0,>2h,685.8,MODERATE
<35,>15,6-8,16-20,3.0,3.0,4.0,Sometimes,2,10-20,2,None,3.0,No travel,2.0,3-5,3.0,30-60,662.0,MODERATE
35-40,None,2-3,16-20,3.0,3.0,3.0,Sometimes,1,10-20,None,3,3.0,2 trips,1.0,3-5,2.0,30-60,628.9,MODERATE
45-50,6-10,1,6-10,4.0,4.0,2.0,Often,1,<10,4+,2,4.0,3 trips,5.0,3-5,4.0,No commute,626.3,MODERATE
35-40,1-5,1,16-20,3.0,3.0,2.0,Sometimes,2,<10,None,2,3.0,3 trips,5.0,11-15,3.0,>2h,684.7,MODERATE
>50,1-5,2-3,11-15,3.0,3.0,4.0,Sometimes,3,Unknown,1,1,3.0,1 trip,2.0,3-5,4.0,30-60,721.7,GOOD
40-45,None,4-5,>20,1.0,1.0,4.0,Never,None,30-45,1,None,2.0,2 trips,2.0,11-15,5.0,30-60,705.8,GOOD
<35,None,>8,>20,3.0,3.0,4.0,Sometimes,2,>45,1,None,3.0,No travel,4.0,11-15,4.0,<30,704.1,GOOD
<35,None,6-8,11-15,4.0,4.0,4.0,Often,3,<10,None,4+,3.0,2 trips,2.0,6-10,2.0,1-2h,635.8,MODERATE
45-50,11-15,2-3,0-5,3.0,3.0,4.0,Sometimes,3,10-20,3,1,3.0,2 trips,2.0,3-5,3.0,1-2h,629.0,MODERATE
35-40,>15,4-5,16-20,3.0,3.0,4.0,Sometimes,3,20-30,1,1,3.0,>3 trips,5.0,<3,5.0,<30,704.2,GOOD
45-50,6-10,>8,>20,3.0,3.0,2.0,Sometimes,1,<10,None,None,3.0,1 trip,3.0,3-5,2.0,1-2h,685.1,MODERATE
40-45,1-5,4-5,6-10,3.0,3.0,4.0,Sometimes,2,10-20,1,None,3.0,2 trips,1.0,<3,2.0,No commute,629.2,MODERATE
45-50,1-5,>8,0-5,2.0,2.0,3.0,Rarely,3,Unknown,2,2,2.0,No travel,5.0,>15,5.0,>2h,787.5,GOOD
<35,>15,1,>20,3.0,3.0,2.0,Sometimes,2,Unknown,2,1,3.0,1 trip,2.0,>15,4.0,30-60,684.7,MODERATE
<35,None,>8,16-20,1.0,1.0,2.0,Never,2,<10,None,2,2.0,3 trips,5.0,3-5,1.0,1-2h,623.1,MODERATE
>50,None,1,>20,5.0,5.0,2.0,Always,None,10-20,1,3,5.0,2 trips,1.0,>15,5.0,30-60,678.4,MODERATE
>50,1-5,6-8,16-20,3.0,3.0,4.0,Sometimes,1,>45,1,3,3.0,>3 trips,5.0,6-10,4.0,<30,730.6,GOOD
40-45,>15,2-3,0-5,1.0,1.0,4.0,Never,3,<10,4+,None,1.0,No travel,3.0,3-5,2.0,<30,646.9,MODERATE
35-40,1-5,1,11-15,1.0,1.0,1.0,Never,2,Unknown,1,4+,2.0,2 trips,4.0,>15,5.0,1-2h,722.1,GOOD
45-50,None,4-5,16-20,1.0,1.0,2.0,Never,2,20-30,3,None,2.0,>3 trips,1.0,6-10,1.0,<30,729.5,GOOD
40-45,6-10,>8,16-20,1.0,1.0,2.0,Never,1,20-30,2,1,2.0,3 trips,5.0,>15,5.0,1-2h,758.2,GOOD
>50,None,4-5,0-5,3.0,3.0,5.0,Sometimes,4+,10-20,1,None,2.0,2 trips,5.0,6-10,5.0,No commute,736.7,GOOD
45-50,6-10,1,0-5,3.0,3.0,2.0,Sometimes,1,10-20,3,2,3.0,>3 trips,4.0,3-5,1.0,1-2h,598.5,MODERATE
>50,11-15,4-5,6-10,4.0,4.0,2.0,Often,3,<10,None,None,3.0,No travel,5.0,3-5,1.0,<30,617.6,MODERATE
45-50,>15,>8,0-5,4.0,4.0,4.0,Often,1,<10,2,2,4.0,No travel,2.0,3-5,4.0,No commute,637.4,MODERATE
35-40,11-15,2-3,>20,2.0,2.0,4.0,Rarely,4+,<10,None,3,2.0,3 trips,5.0,6-10,2.0,No commute,698.1,MODERATE
40-45,None,4-5,16-20,5.0,5.0,2.0,Always,2,<10,1,2,4.0,1 trip,1.0,6-10,5.0,1-2h,664.1,MODERATE
45-50,>15,6-8,11-15,3.0,3.0,1.0,Sometimes,1,10-20,None,1,3.0,2 trips,5.0,6-10,2.0,30-60,649.9,MODERATE
<35,None,>8,0-5,2.0,2.0,2.0,Rarely,2,10-20,2,None,2.0,>3 trips,4.0,<3,2.0,30-60,631.6,MODERATE
<35,>15,>8,16-20,5.0,5.0,1.0,Always,2,Unknown,None,1,4.0,3 trips,1.0,>15,2.0,<30,651.2,MODERATE
45-50,>15,6-8,11-15,2.0,2.0,4.0,Rarely,3,30-45,None,2,2.0,3 trips,2.0,6-10,2.0,1-2h,673.9,MODERATE
45-50,None,1,6-10,1.0,1.0,2.0,Never,1,30-45,None,2,2.0,>3 trips,2.0,3-5,1.0,30-60,639.7,MODERATE
45-50,None,6-8,>20,1.0,1.0,2.0,Never,1,30-45,3,2,2.0,1 trip,2.0,3-5,1.0,1-2h,639.7,MODERATE
<35,>15,1,6-10,1.0,1.0,2.0,Never,1,30-45,3,2,2.0,1 trip,2.0,3-5,1.0,30-60,639.7,MODERATE
<35,>15,2-3,0-5,3.0,3.0,4.0,Sometimes,2,Unknown,1,2,3.0,3 trips,3.0,6-10,2.0,No commute,676.0,MODERATE
45-50,None,1,>20,5.0,5.0,2.0,Always,1,10-20,None,None,5.0,3 trips,2.0,3-5,3.0,1-2h,656.2,MODERATE
>50,None,2-3,6-10,2.0,2.0,2.0,Rarely,2,<10,3,4+,2.0,3 trips,2.0,6-10,2.0,30-60,651.4,MODERATE
>50,1-5,2-3,16-20,4.0,4.0,3.0,Often,3,10-20,2,1,3.0,3 trips,5.0,11-15,5.0,>2h,729.1,GOOD
35-40,1-5,6-8,0-5,1.0,1.0,4.0,Never,3,>45,2,3,1.0,3 trips,2.0,3-5,4.0,<30,721.9,GOOD
40-45,1-5,2-3,6-10,2.0,2.0,4.0,Rarely,3,Unknown,None,3,2.0,2 trips,4.0,>15,3.0,<30,731.0,GOOD
>50,11-15,1,>20,3.0,3.0,2.0,Sometimes,3,30-45,1,1,3.0,2 trips,1.0,3-5,5.0,1-2h,641.4,MODERATE
<35,>15,4-5,>20,2.0,2.0,2.0,Rarely,3,20-30,3,None,2.0,2 trips,1.0,3-5,5.0,>2h,648.2,MODERATE
>50,6-10,>8,11-15,4.0,4.0,3.0,Often,3,<10,3,1,3.0,No travel,4.0,6-10,5.0,No commute,708.3,GOOD
35-40,11-15,>8,>20,4.0,4.0,1.0,Often,3,>45,3,2,3.0,2 trips,2.0,6-10,5.0,<30,667.9,MODERATE
35-40,>15,1,>20,3.0,3.0,4.0,Sometimes,2,Unknown,1,4+,3.0,2 trips,2.0,3-5,4.0,1-2h,699.6,MODERATE
40-45,6-10,4-5,0-5,5.0,5.0,1.0,Always,1,10-20,4+,1,5.0,1 trip,1.0,<3,2.0,<30,578.1,MODERATE
>50,1-5,2-3,>20,3.0,3.0,4.0,Sometimes,2,10-20,3,None,3.0,3 trips,2.0,>15,2.0,1-2h,645.2,MODERATE
<35,6-10,1,11-15,1.0,1.0,4.0,Never,4+,Unknown,None,2,1.0,>3 trips,3.0,>15,4.0,>2h,772.4,GOOD
<35,None,2-3,>20,3.0,3.0,4.0,Sometimes,2,10-20,3,1,3.0,1 trip,5.0,>15,5.0,30-60,708.1,GOOD
45-50,None,6-8,11-15,2.0,2.0,4.0,Rarely,2,30-45,3,1,2.0,No travel,5.0,3-5,5.0,30-60,722.7,GOOD
<35,>15,4-5,16-20,2.0,2.0,2.0,Rarely,4+,<10,4+,2,1.0,1 trip,1.0,3-5,4.0,30-60,594.2,MODERATE
40-45,11-15,>8,11-15,3.0,3.0,4.0,Sometimes,3,>45,None,None,3.0,>3 trips,4.0,6-10,4.0,30-60,653.7,MODERATE
40-45,1-5,1,0-5,2.0,2.0,4.0,Rarely,3,20-30,None,4+,2.0,1 trip,4.0,3-5,4.0,No commute,695.5,MODERATE
<35,>15,>8,6-10,4.0,4.0,3.0,Often,2,<10,None,4+,4.0,1 trip,1.0,3-5,4.0,1-2h,648.0,MODERATE
<35,1-5,2-3,6-10,3.0,3.0,5.0,Sometimes,4+,Unknown,3,2,2.0,2 trips,5.0,>15,5.0,No commute,780.1,GOOD
45-50,None,2-3,16-20,3.0,3.0,4.0,Sometimes,3,<10,3,3,3.0,No travel,5.0,3-5,5.0,30-60,733.1,GOOD
<35,11-15,6-8,0-5,4.0,4.0,4.0,Often,3,<10,2,None,3.0,2 trips,1.0,3-5,2.0,30-60,662.2,MODERATE
45-50,11-15,2-3,16-20,1.0,1.0,4.0,Never,2,<10,4+,3,1.0,>3 trips,1.0,3-5,1.0,>2h,620.8,MODERATE
45-50,None,2-3,16-20,3.0,3.0,2.0,Sometimes,1,<10,None,3,3.0,No travel,5.0,<3,5.0,<30,637.8,MODERATE
<35,6-10,>8,>20,5.0,5.0,2.0,Always,1,20-30,None,3,5.0,>3 trips,3.0,>15,5.0,30-60,690.7,MODERATE
35-40,11-15,>8,>20,3.0,3.0,2.0,Sometimes,4+,20-30,2,None,2.0,>3 trips,2.0,>15,5.0,No commute,719.3,GOOD
35-40,6-10,1,0-5,1.0,1.0,4.0,Never,4+,20-30,3,3,1.0,1 trip,5.0,>15,5.0,No commute,774.1,GOOD
45-50,1-5,1,6-10,3.0,3.0,4.0,Sometimes,3,30-45,2,2,3.0,1 trip,2.0,6-10,4.0,No commute,663.7,MODERATE
<35,11-15,2-3,11-15,2.0,2.0,2.0,Rarely,3,20-30,2,1,2.0,1 trip,5.0,3-5,3.0,>2h,704.7,GOOD
35-40,None,4-5,>20,5.0,5.0,2.0,Always,1,<10,3,2,5.0,1 trip,1.0,11-15,1.0,No commute,622.1,MODERATE
<35,6-10,1,0-5,1.0,1.0,2.0,Never,3,30-45,1,1,1.0,No travel,2.0,<3,1.0,1-2h,656.7,MODERATE
<35,1-5,2-3,0-5,2.0,2.0,4.0,Rarely,3,Unknown,4+,4+,2.0,2 trips,2.0,3-5,2.0,1-2h,673.0,MODERATE
<35,1-5,>8,6-10,2.0,2.0,4.0,Rarely,4+,10-20,1,3,2.0,No travel,2.0,>15,5.0,>2h,675.8,MODERATE
>50,11-15,6-8,0-5,2.0,2.0,4.0,Rarely,4+,<10,1,4+,2.0,1 trip,2.0,>15,5.0,1-2h,665.6,MODERATE
<35,11-15,>8,0-5,3.0,3.0,2.0,Sometimes,None,20-30,4+,4+,4.0,3 trips,1.0,3-5,2.0,>2h,601.7,MODERATE
>50,>15,>8,6-10,3.0,3.0,3.0,Sometimes,4+,10-20,1,None,2.0,>3 trips,1.0,>15,2.0,>2h,697.8,MODERATE
45-50,>15,6-8,>20,2.0,2.0,4.0,Rarely,3,>45,3,3,2.0,1 trip,4.0,>15,5.0,>2h,721.2,GOOD
35-40,11-15,>8,6-10,5.0,5.0,5.0,Always,2,20-30,1,4+,4.0,1 trip,3.0,3-5,2.0,1-2h,563.2,MODERATE
35-40,>15,1,16-20,2.0,2.0,3.0,Rarely,1,20-30,1,1,3.0,>3 trips,2.0,6-10,5.0,30-60,670.7,MODERATE
35-40,None,>8,>20,1.0,1.0,2.0,Never,3,Unknown,1,1,1.0,>3 trips,5.0,3-5,5.0,1-2h,721.9,GOOD
35-40,None,6-8,16-20,1.0,1.0,4.0,Never,1,Unknown,3,None,2.0,2 trips,5.0,>15,3.0,>2h,735.5,GOOD
35-40,>15,2-3,0-5,1.0,1.0,4.0,Never,1,Unknown,2,4+,2.0,No travel,4.0,<3,2.0,<30,668.0,MODERATE
35-40,11-15,2-3,16-20,3.0,3.0,4.0,Sometimes,1,30-45,None,4+,3.0,>3 trips,1.0,>15,5.0,1-2h,667.3,MODERATE
35-40,None,2-3,6-10,2.0,2.0,3.0,Rarely,3,<10,4+,4+,2.0,No travel,3.0,>15,5.0,<30,728.0,GOOD
45-50,1-5,6-8,6-10,2.0,2.0,5.0,Rarely,3,>45,4+,None,2.0,1 trip,3.0,6-10,5.0,1-2h,723.4,GOOD
<35,11-15,6-8,11-15,2.0,2.0,2.0,Rarely,2,20-30,3,3,2.0,3 trips,2.0,6-10,5.0,>2h,677.3,MODERATE
40-45,6-10,1,0-5,2.0,2.0,2.0,Rarely,2,20-30,None,4+,2.0,3 trips,2.0,6-10,5.0,1-2h,677.3,MODERATE
>50,6-10,6-8,6-10,4.0,4.0,1.0,Often,1,20-30,1,4+,4.0,2 trips,5.0,6-10,5.0,No commute,646.3,MODERATE
40-45,11-15,2-3,>20,2.0,2.0,4.0,Rarely,None,Unknown,4+,2,3.0,2 trips,2.0,>15,2.0,No commute,676.9,MODERATE
40-45,>15,6-8,6-10,3.0,3.0,2.0,Sometimes,None,<10,1,1,4.0,2 trips,2.0,<3,5.0,>2h,634.4,MODERATE
<35,None,4-5,>20,1.0,1.0,3.0,Never,3,10-20,3,3,1.0,3 trips,5.0,3-5,3.0,30-60,672.8,MODERATE
<35,None,>8,0-5,1.0,1.0,3.0,Never,3,10-20,3,3,1.0,>3 trips,5.0,3-5,3.0,<30,672.8,MODERATE
<35,11-15,1,11-15,3.0,3.0,2.0,Sometimes,None,20-30,3,3,4.0,>3 trips,2.0,11-15,5.0,1-2h,671.8,MODERATE
35-40,1-5,2-3,11-15,4.0,4.0,2.0,Often,4+,<10,2,4+,3.0,>3 trips,1.0,3-5,5.0,>2h,598.9,MODERATE
45-50,>15,2-3,16-20,1.0,1.0,4.0,Never,2,Unknown,3,2,2.0,1 trip,5.0,11-15,5.0,<30,768.2,GOOD
35-40,1-5,4-5,6-10,3.0,3.0,4.0,Sometimes,3,<10,1,3,3.0,No travel,2.0,3-5,3.0,1-2h,652.0,MODERATE
45-50,11-15,1,0-5,4.0,4.0,4.0,Often,4+,20-30,2,None,3.0,1 trip,4.0,3-5,2.0,1-2h,683.0,MODERATE
45-50,11-15,>8,16-20,3.0,3.0,2.0,Sometimes,1,20-30,1,None,3.0,2 trips,2.0,3-5,3.0,30-60,607.0,MODERATE
40-45,1-5,1,0-5,2.0,2.0,4.0,Rarely,2,Unknown,3,1,2.0,2 trips,2.0,6-10,1.0,<30,669.4,MODERATE
40-45,6-10,1,0-5,4.0,4.0,4.0,Often,3,>45,2,2,3.0,>3 trips,1.0,>15,5.0,1-2h,656.7,MODERATE
45-50,11-15,2-3,16-20,5.0,5.0,5.0,Always,None,Unknown,None,3,5.0,1 trip,1.0,<3,4.0,30-60,619.7,MODERATE
45-50,>15,6-8,0-5,4.0,4.0,4.0,Often,2,Unknown,3,2,4.0,1 trip,2.0,6-10,5.0,No commute,703.2,GOOD
35-40,1-5,>8,16-20,5.0,5.0,4.0,Always,2,<10,2,None,4.0,>3 trips,3.0,3-5,5.0,30-60,635.9,MODERATE
35-40,6-10,1,6-10,2.0,2.0,4.0,Rarely,1,10-20,2,3,3.0,No travel,2.0,3-5,4.0,<30,633.3,MODERATE
40-45,1-5,4-5,16-20,2.0,2.0,3.0,Rarely,None,30-45,2,4+,3.0,No travel,2.0,11-15,4.0,30-60,678.4,MODERATE
<35,6-10,2-3,6-10,4.0,4.0,4.0,Often,2,30-45,4+,None,4.0,1 trip,2.0,<3,5.0,No commute,721.0,GOOD
45-50,6-10,6-8,11-15,1.0,1.0,2.0,Never,None,20-30,2,1,2.0,1 trip,2.0,3-5,5.0,No commute,681.8,MODERATE
35-40,>15,6-8,16-20,2.0,2.0,4.0,Rarely,1,Unknown,None,3,3.0,No travel,4.0,11-15,5.0,<30,674.1,MODERATE
40-45,11-15,2-3,11-15,3.0,3.0,4.0,Sometimes,1,20-30,3,1,3.0,3 trips,5.0,>15,2.0,>2h,739.5,GOOD
35-40,6-10,1,16-20,1.0,1.0,4.0,Never,3,<10,3,2,1.0,3 trips,3.0,3-5,5.0,30-60,655.4,MODERATE
45-50,11-15,2-3,0-5,3.0,3.0,4.0,Sometimes,3,Unknown,3,1,3.0,2 trips,5.0,3-5,5.0,<30,694.5,MODERATE
45-50,>15,6-8,11-15,2.0,2.0,2.0,Rarely,2,<10,2,1,2.0,1 trip,2.0,3-5,2.0,1-2h,650.9,MODERATE
>50,11-15,6-8,>20,3.0,3.0,2.0,Sometimes,2,30-45,3,4+,3.0,No travel,2.0,6-10,2.0,30-60,602.9,MODERATE
<35,None,4-5,>20,3.0,3.0,1.0,Sometimes,3,>45,None,1,3.0,>3 trips,3.0,<3,1.0,No commute,602.1,MODERATE
>50,6-10,4-5,>20,4.0,4.0,1.0,Often,2,>45,4+,4+,4.0,>3 trips,1.0,6-10,4.0,30-60,621.6,MODERATE
40-45,>15,6-8,11-15,1.0,1.0,2.0,Never,3,10-20,None,1,1.0,3 trips,2.0,<3,2.0,<30,671.9,MODERATE
35-40,1-5,4-5,6-10,4.0,4.0,5.0,Often,1,Unknown,4+,4+,4.0,No travel,5.0,>15,5.0,>2h,708.1,GOOD
40-45,>15,4-5,16-20,2.0,2.0,3.0,Rarely,2,10-20,3,None,2.0,3 trips,5.0,11-15,2.0,>2h,683.2,MODERATE
45-50,6-10,4-5,0-5,5.0,5.0,2.0,Always,3,30-45,1,4+,4.0,3 trips,1.0,<3,5.0,1-2h,585.9,MODERATE
>50,>15,6-8,0-5,3.0,3.0,2.0,Sometimes,None,Unknown,4+,None,4.0,1 trip,5.0,>15,4.0,<30,710.0,GOOD
>50,1-5,1,11-15,5.0,5.0,2.0,Always,1,10-20,None,None,5.0,1 trip,1.0,6-10,4.0,30-60,634.2,MODERATE
>50,None,1,>20,3.0,3.0,2.0,Sometimes,2,<10,None,3,3.0,No travel,3.0,3-5,1.0,No commute,620.7,MODERATE
40-45,6-10,>8,0-5,5.0,5.0,4.0,Always,3,Unknown,1,None,4.0,2 trips,3.0,3-5,4.0,30-60,631.8,MODERATE
45-50,6-10,4-5,0-5,5.0,5.0,2.0,Always,1,<10,4+,3,5.0,1 trip,1.0,6-10,1.0,30-60,578.9,MODERATE
35-40,>15,1,6-10,1.0,1.0,4.0,Never,3,20-30,4+,4+,1.0,2 trips,5.0,>15,4.0,No commute,734.4,GOOD
35-40,11-15,>8,0-5,4.0,4.0,2.0,Often,1,Unknown,None,2,4.0,3 trips,4.0,3-5,5.0,1-2h,654.8,MODERATE
40-45,11-15,2-3,0-5,2.0,2.0,4.0,Rarely,2,>45,4+,3,2.0,3 trips,5.0,>15,4.0,>2h,716.0,GOOD
>50,1-5,4-5,16-20,3.0,3.0,4.0,Sometimes,3,20-30,1,2,3.0,No travel,2.0,11-15,2.0,>2h,670.3,MODERATE
<35,None,1,0-5,2.0,2.0,4.0,Rarely,4+,20-30,4+,4+,2.0,No travel,5.0,6-10,5.0,30-60,717.9,GOOD
40-45,None,1,16-20,5.0,5.0,4.0,Always,1,<10,4+,3,5.0,3 trips,4.0,3-5,5.0,<30,710.6,GOOD
40-45,>15,1,>20,3.0,3.0,3.0,Sometimes,2,>45,1,4+,3.0,2 trips,2.0,>15,5.0,>2h,714.2,GOOD
45-50,>15,>8,6-10,3.0,3.0,2.0,Sometimes,1,10-20,3,2,3.0,2 trips,2.0,3-5,2.0,1-2h,641.6,MODERATE
35-40,11-15,2-3,0-5,1.0,1.0,2.0,Never,None,10-20,4+,4+,2.0,3 trips,2.0,11-15,3.0,1-2h,637.4,MODERATE
40-45,None,4-5,6-10,2.0,2.0,2.0,Rarely,3,10-20,None,2,2.0,>3 trips,4.0,6-10,1.0,No commute,631.8,MODERATE
40-45,None,1,6-10,2.0,2.0,1.0,Rarely,3,Unknown,2,None,2.0,>3 trips,5.0,6-10,1.0,<30,712.6,GOOD
>50,None,6-8,6-10,2.0,2.0,2.0,Rarely,2,<10,None,2,2.0,2 trips,5.0,3-5,2.0,>2h,671.6,MODERATE
>50,1-5,4-5,11-15,5.0,5.0,2.0,Always,1,<10,None,2,5.0,>3 trips,1.0,6-10,1.0,<30,578.9,MODERATE
<35,1-5,6-8,16-20,5.0,5.0,3.0,Always,1,10-20,3,None,5.0,1 trip,2.0,11-15,5.0,>2h,658.8,MODERATE
45-50,>15,>8,6-10,2.0,2.0,1.0,Rarely,3,Unknown,3,3,2.0,No travel,5.0,6-10,1.0,No commute,712.6,GOOD
<35,11-15,1,>20,3.0,3.0,1.0,Sometimes,4+,<10,None,1,2.0,No travel,2.0,6-10,1.0,<30,624.8,MODERATE
>50,6-10,4-5,0-5,3.0,3.0,4.0,Sometimes,4+,>45,4+,3,2.0,>3 trips,5.0,6-10,2.0,<30,745.0,GOOD
35-40,11-15,4-5,6-10,3.0,3.0,4.0,Sometimes,3,30-45,None,1,3.0,3 trips,5.0,6-10,2.0,>2h,686.2,MODERATE
>50,1-5,1,6-10,5.0,5.0,4.0,Always,3,20-30,4+,None,4.0,1 trip,4.0,>15,2.0,30-60,687.3,MODERATE
45-50,1-5,2-3,0-5,1.0,1.0,4.0,Never,3,30-45,1,3,1.0,>3 trips,4.0,6-10,5.0,>2h,696.6,MODERATE
>50,>15,>8,>20,4.0,4.0,2.0,Often,2,20-30,1,4+,4.0,3 trips,2.0,>15,2.0,<30,698.9,MODERATE
45-50,6-10,1,6-10,1.0,1.0,2.0,Never,3,<10,3,4+,1.0,3 trips,5.0,3-5,2.0,No commute,678.1,MODERATE
45-50,None,4-5,6-10,4.0,4.0,2.0,Often,1,20-30,2,3,4.0,2 trips,1.0,6-10,4.0,No commute,637.6,MODERATE
45-50,6-10,2-3,>20,5.0,5.0,2.0,Always,1,20-30,2,4+,5.0,1 trip,2.0,>15,2.0,30-60,651.2,MODERATE
45-50,6-10,4-5,6-10,1.0,1.0,4.0,Never,3,30-45,3,None,1.0,1 trip,5.0,3-5,5.0,30-60,731.4,GOOD
45-50,6-10,6-8,>20,2.0,2.0,1.0,Rarely,2,20-30,1,4+,2.0,2 trips,1.0,3-5,2.0,<30,648.4,MODERATE
